2016-02-09 23:29:41 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 15:41:13 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 15:41:52 - PHP Notice:  Undefined variable: fff in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 458
2016-02-10 17:50:03 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 17:52:28 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 17:57:41 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:02:34 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:04:56 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:05:37 - PHP Notice:  Undefined variable: fff in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 458
2016-02-10 18:16:21 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:18:12 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:21:12 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:23:57 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-10 18:24:24 - PHP Notice:  Undefined variable: fff in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 458
2016-02-11 0:26:20 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-11 0:28:51 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-11 0:33:22 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-11 0:33:51 - PHP Notice:  Undefined variable: fff in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 458
2016-02-11 15:02:37 - PHP Notice:  Undefined variable: fff in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 458
2016-02-12 17:58:49 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-12 18:00:48 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-12 18:05:13 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-12 18:10:05 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
2016-02-12 18:10:47 - PHP Notice:  Undefined variable: product_info_aute in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 361
2016-02-12 18:10:47 - PHP Warning:  Invalid argument supplied for foreach() in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/vqmod/vqcache/vq2-catalog_model_checkout_order.php on line 361
2016-02-12 18:12:51 - PHP Notice:  Undefined index: address_id in /www/webvol16/2l/cu9ffy6mb8jhi1f/xboxliveguld.se/public_html/catalog/controller/d_quickcheckout/confirm.php on line 76
